total intl minutes,total eve minutes,total day minutes,total intl calls,total eve calls,total day calls,state,number vmail messages,international plan,voice mail plan,customer service calls,account length,churn
7.8,215.8,262.8,2,130,114,PA,30,no,yes,0,87,False
9.4,285.9,150.0,15,73,69,NV,0,yes,no,0,144,False
9.3,145.5,217.2,3,111,138,MI,26,yes,yes,0,109,False
15.3,242.5,249.9,6,104,95,WV,0,yes,no,1,115,True
11.8,138.9,253.0,3,121,78,AR,23,no,yes,2,116,False
10.6,271.5,169.2,2,77,70,SC,0,no,no,0,99,False
5.9,264.8,266.6,2,168,106,FL,0,no,no,1,127,True
10.3,158.2,138.1,2,82,115,NH,0,no,no,5,35,True
7.5,254.1,245.2,4,83,87,CT,0,no,no,0,77,True
11.5,186.4,232.7,6,123,114,NC,0,no,no,5,101,False
13.0,234.4,192.8,3,96,104,WY,0,no,no,3,139,False
7.9,173.5,161.5,4,108,92,ND,0,no,no,2,88,False
10.5,240.7,98.0,4,62,99,OR,0,no,no,0,129,False
10.5,187.6,203.9,6,99,106,AK,33,yes,yes,3,136,False
7.7,192.4,166.6,6,91,84,NC,0,no,no,1,103,False
11.2,143.7,281.1,9,130,83,MO,22,no,yes,1,107,False
7.0,196.6,209.8,7,84,130,WV,38,no,yes,1,11,False
10.9,225.9,192.7,6,105,85,AL,25,no,yes,2,131,False
12.0,129.8,187.8,3,90,117,MS,32,no,yes,2,66,False
9.6,210.6,207.7,5,99,116,CT,0,no,no,0,22,False
7.2,154.9,166.9,5,97,99,LA,0,no,no,0,154,False
8.5,236.8,174.5,5,136,79,VA,0,no,no,0,102,False
12.7,249.7,216.4,4,90,80,SD,40,yes,yes,1,122,False
12.3,226.4,296.0,10,117,93,WY,0,no,no,0,134,True
11.0,192.6,137.9,5,63,96,WA,0,no,no,1,89,False
8.2,274.3,226.3,3,109,95,SD,0,no,no,2,27,True
8.3,245.3,149.0,3,105,115,SD,0,no,no,0,91,False
8.7,273.7,165.4,3,109,106,MI,0,no,no,0,225,True
8.0,266.6,198.5,7,100,124,DE,0,no,no,2,90,False
11.2,328.2,182.3,1,93,101,DE,0,no,no,2,62,False
7.6,307.2,98.2,1,88,100,MS,0,no,no,2,96,False
8.0,95.1,208.0,11,94,69,KS,0,no,no,1,110,False
13.4,191.8,243.0,5,91,115,WY,0,no,no,2,148,False
7.9,192.4,214.0,4,89,117,HI,0,no,no,1,150,False
6.7,205.3,174.0,3,81,118,HI,30,no,yes,1,131,False
14.4,155.5,126.7,7,131,113,VT,0,no,no,2,125,False
5.6,262.3,175.3,11,122,96,UT,34,no,yes,1,91,False
8.8,244.9,200.2,3,107,92,MN,0,no,no,1,115,False
11.9,230.5,109.8,6,86,120,NY,0,no,no,1,137,False
7.2,195.6,276.5,3,79,122,TN,0,yes,no,1,80,True
11.9,256.8,156.0,5,72,141,IA,0,no,no,2,113,False
9.4,217.9,169.3,9,147,82,IL,0,yes,no,1,138,False
11.1,153.3,175.3,3,116,107,MS,30,yes,yes,1,145,False
10.3,201.5,226.1,5,107,105,NH,0,no,no,1,75,False
8.4,237.4,271.1,6,133,101,CT,0,no,no,1,93,True
8.8,231.3,159.1,3,117,114,ID,0,no,no,5,119,True
8.9,206.2,213.1,3,108,105,NH,0,no,no,0,130,False
2.5,164.1,200.6,5,111,96,DE,28,no,yes,1,75,False
11.6,203.9,188.9,8,104,94,TX,0,no,no,3,50,False
11.2,264.7,245.8,7,90,102,DE,0,no,no,0,133,False
13.2,227.0,195.9,1,108,111,DE,0,no,no,2,115,False
10.8,183.2,193.7,5,124,108,NM,0,no,no,1,105,False
9.8,205.7,251.8,7,126,72,ID,0,no,no,2,77,True
10.9,185.1,119.3,4,111,82,TN,0,no,no,2,105,False
12.6,143.7,163.5,5,111,136,MT,0,no,no,1,94,False
10.0,147.8,151.5,4,89,99,CO,21,yes,yes,1,63,False
13.7,195.5,161.6,3,103,123,OH,26,no,yes,1,107,False
12.0,241.5,217.1,6,111,110,VA,0,no,no,0,141,False
11.2,289.5,200.6,5,120,117,AL,0,yes,no,2,96,False
9.2,169.0,110.1,2,59,113,VA,0,no,no,1,143,False
9.3,150.3,196.4,1,109,115,TX,22,no,yes,0,80,False
13.0,214.8,208.9,5,92,71,UT,0,no,no,1,83,False
10.9,140.0,144.6,3,102,97,IL,29,no,yes,1,85,False
9.2,264.7,198.4,2,106,91,IL,0,no,no,2,129,False
9.9,67.0,132.9,2,62,122,WV,0,no,no,3,63,False
8.6,283.4,163.6,9,93,88,SD,0,no,no,0,78,False
13.4,93.7,167.7,1,121,94,CO,0,yes,no,3,121,True
14.7,191.0,242.1,2,93,118,SD,0,no,no,3,137,False
11.2,188.0,129.0,3,116,78,KS,0,no,no,2,67,False
10.7,237.0,160.6,1,109,103,VT,0,no,no,1,80,False
9.8,197.7,190.2,6,141,102,NJ,0,no,no,2,84,False
10.0,268.8,157.1,8,83,109,WI,0,no,no,0,73,False
9.8,164.5,117.9,3,115,131,NM,21,no,yes,1,93,False
9.0,151.0,221.0,6,118,108,WY,12,no,yes,2,116,False
4.3,187.5,170.2,3,83,89,WY,0,no,no,0,151,False
9.9,175.2,179.2,6,130,111,HI,0,no,no,2,169,False
11.0,193.6,87.0,5,64,102,WI,0,no,no,0,78,False
8.6,276.3,90.0,6,113,87,NH,32,no,yes,2,97,True
12.7,107.9,272.4,2,125,88,AZ,0,no,no,0,72,False
4.4,252.2,161.2,8,83,114,IA,21,no,yes,4,98,False
13.6,92.0,190.4,17,107,91,NY,0,no,no,2,94,False
6.1,148.6,206.3,3,89,151,OK,0,no,no,1,146,False
11.2,104.9,128.8,2,71,96,IA,0,no,no,1,168,False
12.6,236.5,156.7,6,118,51,TX,27,no,yes,2,90,False
3.9,158.9,138.4,9,122,104,OK,0,no,no,4,146,True
12.3,134.1,135.1,2,102,95,NV,0,yes,no,2,137,True
11.8,224.1,216.0,4,69,140,KS,25,no,yes,0,117,False
7.6,225.0,230.4,6,101,117,ID,0,no,no,3,119,False
12.3,284.3,252.9,1,88,129,DC,11,no,yes,1,148,False
12.9,182.9,133.3,2,89,106,AR,0,yes,no,3,107,True
8.2,324.8,88.5,4,109,100,KY,9,no,yes,3,106,False
9.4,134.2,218.5,6,103,130,ND,31,no,yes,0,153,False
10.6,228.0,97.1,3,131,98,VA,0,no,no,1,117,False
9.8,266.9,87.6,10,107,112,AZ,0,no,no,2,138,False
14.1,189.3,113.2,4,63,108,GA,0,no,no,3,90,False
9.3,264.1,169.6,4,87,99,DE,0,no,no,0,108,False
10.5,195.5,183.4,5,106,126,CA,31,no,yes,1,96,False
6.6,251.5,212.3,2,78,77,LA,32,no,yes,3,123,False
11.1,189.6,157.5,2,67,109,ND,35,yes,yes,3,147,True
6.5,199.7,57.1,6,78,98,DC,0,yes,no,3,169,False
12.7,186.3,194.5,1,131,97,GA,0,no,no,2,107,False
6.9,285.2,215.8,3,76,123,WA,28,no,yes,1,120,False
5.1,220.6,161.4,2,125,110,DC,0,no,no,0,126,False
7.3,130.4,156.4,5,114,116,MO,0,yes,no,1,101,False
11.4,260.0,206.2,6,91,79,WV,30,no,yes,1,114,False
13.3,209.1,239.1,3,111,105,CT,20,no,yes,5,152,False
8.8,172.6,123.7,4,106,125,ND,36,no,yes,1,101,True
8.6,224.2,155.9,8,112,123,CA,0,no,no,2,158,False
9.0,249.4,163.1,10,51,119,KS,0,no,no,1,123,False
9.7,237.9,253.2,7,114,89,HI,0,no,no,4,101,False
10.8,224.6,177.9,6,87,129,MO,0,no,no,2,36,False
11.0,222.6,237.2,3,87,124,AL,0,no,no,1,87,False
6.3,231.1,211.2,9,120,119,VA,0,no,no,2,130,False
11.0,169.9,174.4,4,80,75,MN,28,no,yes,1,150,False
16.9,109.6,118.1,2,72,83,UT,24,no,yes,1,118,False
7.6,264.8,158.8,7,91,75,IA,0,no,no,1,128,False
12.7,212.5,335.5,8,109,77,MO,0,no,no,2,112,True
10.9,213.1,178.6,5,103,83,KS,0,no,no,1,36,False
6.6,163.7,95.5,6,63,92,UT,0,no,no,2,243,False
10.3,206.5,133.1,8,120,80,TN,0,no,no,1,196,False
8.0,148.9,248.6,4,85,83,NM,0,no,no,3,147,False
11.2,152.8,236.3,8,130,91,NY,0,yes,no,3,54,False
9.8,165.7,294.9,5,115,106,CO,36,no,yes,3,118,False
11.4,244.0,67.4,2,78,116,NV,27,no,yes,2,3,False
7.7,259.4,239.4,3,88,94,WI,26,no,yes,0,120,False
11.5,200.7,224.5,2,99,111,NY,0,no,no,2,157,False
13.0,235.5,263.4,4,117,101,UT,0,no,no,0,104,False
11.0,216.5,131.7,5,103,108,WV,0,no,no,1,50,False
16.0,267.8,195.6,2,120,99,MA,0,no,no,0,128,False
17.8,234.0,203.9,4,123,109,OK,0,no,no,4,172,False
7.5,127.5,180.1,3,92,106,NC,19,no,yes,0,64,False
5.3,177.2,152.2,3,132,112,AR,0,no,no,1,79,False
11.2,133.2,128.2,2,105,87,AL,0,no,no,1,200,False
8.8,146.0,224.4,2,106,114,OR,22,no,yes,1,142,False
4.6,149.9,169.2,4,83,96,LA,0,no,no,2,114,False
11.1,189.6,109.8,3,104,100,NY,0,no,no,1,91,False
11.0,210.5,195.0,13,83,92,IL,0,no,no,0,83,False
7.8,195.7,142.5,8,88,87,AR,0,no,no,2,100,False
9.7,264.0,159.8,7,64,99,KY,0,no,no,2,54,False
10.2,209.0,184.5,6,86,103,FL,0,no,no,2,120,False
10.9,252.0,93.4,1,92,106,NC,27,no,yes,1,88,False
13.1,130.1,266.0,6,84,120,KS,0,no,no,3,93,False
12.7,158.0,192.8,6,86,68,AR,0,no,no,1,57,False
8.3,249.3,109.6,4,119,108,CA,31,no,yes,4,105,True
9.4,154.7,193.3,6,85,126,AZ,0,no,no,3,108,False
16.7,275.0,99.4,3,86,62,KY,0,no,no,2,110,False
11.4,219.1,94.8,5,91,89,WY,39,no,yes,1,90,False
15.2,166.2,115.4,6,83,98,KY,36,no,yes,2,38,False
7.3,221.9,239.8,1,115,110,DC,37,no,yes,2,41,False
7.7,99.1,174.1,2,118,102,SC,0,no,no,2,99,False
9.6,215.5,273.0,2,98,78,OK,31,no,yes,1,91,False
9.0,218.8,112.8,3,120,108,WI,0,no,no,2,45,False
11.8,143.5,166.8,4,121,127,LA,0,no,no,0,153,False
9.5,215.6,70.8,1,102,94,WA,0,no,no,6,100,True
11.9,213.6,221.2,3,104,80,MO,0,no,no,4,98,False
8.1,164.4,149.8,2,98,134,AZ,0,no,no,1,140,False
13.7,226.7,299.5,4,92,125,GA,0,no,no,0,76,True
6.3,141.2,125.3,2,108,92,MA,31,no,yes,3,102,False
11.3,175.9,247.4,2,76,107,SD,0,no,no,0,30,False
13.9,217.2,245.2,6,92,91,NJ,0,no,no,0,127,True
9.9,264.6,144.4,3,105,88,PA,0,no,no,1,85,False
13.7,172.0,184.5,3,103,81,SD,0,no,no,3,87,False
5.1,220.2,63.2,3,88,108,UT,0,no,no,0,195,False
8.4,245.0,259.9,3,122,68,VA,0,yes,no,3,170,False
8.8,208.6,190.7,8,103,72,MI,0,no,no,1,101,False
11.5,155.3,175.4,3,83,99,OK,0,no,no,1,177,False
8.2,164.9,144.8,4,141,84,NM,0,no,no,2,16,False
11.0,229.7,266.9,6,74,83,ID,0,no,no,3,82,True
12.8,221.8,166.9,4,77,98,TN,0,no,no,3,123,False
12.9,66.0,186.0,4,94,107,CT,0,yes,no,1,135,False
9.2,149.9,218.6,5,130,93,WI,0,no,no,2,127,False
10.5,219.1,204.4,6,90,135,VT,0,yes,no,3,146,False
16.5,116.6,209.2,4,73,110,DC,38,no,yes,2,148,False
10.8,210.0,160.1,9,121,116,WY,9,no,yes,0,101,False
6.8,119.7,159.5,3,149,99,MS,0,no,no,2,43,False
10.3,211.8,158.8,3,105,119,VT,0,no,no,1,68,False
10.8,255.9,183.9,11,101,115,MN,0,no,no,1,101,False
9.7,242.1,194.2,3,81,122,ME,0,no,no,2,69,False
12.5,238.7,86.3,1,99,84,WI,0,no,no,2,62,False
9.6,241.8,215.5,3,92,95,UT,41,no,yes,1,121,False
10.7,60.8,244.8,3,105,91,MO,0,yes,no,2,167,False
10.2,172.1,193.1,1,105,85,UT,0,no,no,0,78,False
15.8,82.2,104.7,7,104,112,AZ,0,no,no,3,70,False
5.8,75.3,198.4,3,77,129,CO,30,no,yes,3,121,True
13.8,205.0,171.6,4,107,119,VA,0,no,no,0,87,False
11.0,176.4,206.2,7,102,113,TN,0,no,no,1,115,False
11.6,173.3,132.0,5,121,100,DC,26,no,yes,1,119,False
10.2,153.0,240.2,6,98,67,MT,0,no,no,2,157,False
6.6,118.7,142.3,8,56,107,NC,29,no,yes,1,63,False
7.6,126.0,199.2,3,86,124,VA,0,no,no,1,145,False
14.4,127.0,103.7,1,107,93,NC,0,no,no,0,126,False
7.2,252.7,190.3,9,70,98,ME,0,no,no,2,174,False
9.9,306.3,142.3,1,111,112,NV,0,no,no,1,77,False
10.3,233.2,167.4,5,143,119,PA,0,no,no,0,124,False
9.2,188.8,204.3,7,115,82,SD,0,yes,no,1,113,False
9.3,186.7,98.2,4,85,99,GA,0,no,no,2,120,False
6.3,129.3,192.3,12,114,114,NV,34,no,yes,1,110,False
8.1,203.9,83.6,3,131,131,AL,29,no,yes,1,106,False
15.1,203.9,163.0,4,102,93,MS,0,no,no,2,155,False
9.7,129.1,99.5,3,80,110,NE,0,no,no,0,132,False
7.6,159.0,171.9,3,127,98,CT,0,no,no,2,48,False
10.0,224.7,144.0,7,73,102,WY,0,no,no,1,96,False
7.5,178.4,178.8,3,97,94,AR,0,no,no,1,156,False
11.9,248.9,129.5,3,90,106,RI,27,no,yes,1,95,False
10.5,95.6,116.4,3,74,98,MA,0,no,no,3,66,False
9.7,268.3,155.2,4,79,139,OK,33,no,yes,3,138,False
13.2,198.1,206.0,3,71,128,WV,0,no,no,0,125,False
9.2,110.2,154.2,5,98,119,NV,0,no,no,2,130,False
13.7,222.0,173.4,6,84,107,OH,0,no,no,1,135,False
8.9,228.7,177.2,3,105,91,CT,0,no,no,2,134,False
7.7,150.6,91.7,5,119,104,MI,26,no,yes,1,45,False
9.5,179.9,204.2,5,152,115,IN,0,no,no,1,166,False
4.2,221.8,199.1,1,103,100,MO,14,no,yes,1,22,False
5.9,246.3,100.1,3,97,54,CT,31,no,yes,0,31,False
0.0,176.1,64.6,0,86,98,IN,21,no,yes,2,98,False
12.2,248.1,175.4,4,105,130,AZ,0,no,no,0,73,False
7.7,127.3,165.0,4,118,89,WA,27,no,yes,2,47,False
6.8,188.4,128.5,6,91,86,OR,30,no,yes,1,155,False
9.1,244.0,162.3,4,122,96,WV,0,no,no,2,30,False
12.1,242.0,194.0,4,114,118,NE,0,no,no,1,123,False
14.4,209.0,242.6,6,117,69,ME,0,no,no,2,25,False
12.3,183.2,184.5,6,78,139,LA,33,no,yes,0,162,False
8.7,207.3,198.2,3,76,87,AZ,0,no,no,4,99,False
10.5,156.2,220.8,4,67,111,AZ,0,no,no,2,94,False
9.2,167.7,203.4,5,110,81,MA,0,no,no,2,166,False
9.1,163.4,187.7,5,148,127,RI,0,no,no,0,74,False
3.8,135.9,155.2,9,84,100,MN,0,no,no,3,135,False
8.2,154.3,141.3,5,95,72,NV,0,no,no,1,86,False
6.4,153.1,164.0,4,102,99,AR,0,yes,no,0,33,False
10.3,220.6,217.8,6,97,91,VT,0,no,no,1,73,True
9.5,235.8,149.0,5,67,104,VA,23,no,yes,4,113,False
11.0,175.8,222.8,3,85,99,TN,0,no,no,3,68,False
13.2,268.1,97.5,4,69,113,MT,0,no,no,3,160,False
7.5,257.5,84.9,5,109,77,OR,0,no,no,2,177,False
7.8,167.3,141.8,3,99,116,MT,22,no,yes,1,143,False
13.1,201.3,90.4,4,109,105,WA,16,no,yes,0,136,False
9.2,196.0,176.2,4,115,90,NV,0,no,no,1,160,False
11.1,243.8,168.4,2,89,125,WV,0,no,no,1,43,False
7.6,296.8,177.6,3,92,121,NV,0,no,no,3,27,False
7.8,214.8,105.4,5,122,70,OR,0,no,no,0,161,False
14.6,254.3,186.1,7,57,98,NH,0,no,no,2,19,False
8.6,187.2,175.7,3,94,93,AK,39,no,yes,2,132,False
7.7,236.8,235.6,2,113,124,TN,28,no,yes,1,127,False
7.8,241.3,175.3,2,146,96,KS,19,no,yes,0,137,False
8.6,121.6,132.4,2,101,120,CO,0,no,no,1,83,False
9.5,202.3,159.3,3,98,104,ID,0,no,no,2,83,False
10.1,123.9,149.4,6,72,74,PA,24,no,yes,1,77,False
11.3,181.4,136.1,4,93,116,MD,0,no,no,0,166,False
8.1,185.0,208.0,9,113,115,IA,26,no,yes,1,1,False
9.8,183.0,172.9,1,86,119,TX,0,yes,no,0,37,True
17.3,154.5,167.6,3,90,100,NE,0,no,no,2,112,False
6.5,242.8,158.9,4,109,137,MN,0,no,no,0,113,False
11.6,169.9,143.2,1,91,99,AZ,14,no,yes,1,127,False
10.4,135.2,204.9,3,102,107,WA,0,no,no,5,103,False
5.7,183.3,235.0,7,79,101,OH,37,yes,yes,2,29,False
14.0,207.8,266.3,2,117,90,UT,0,no,no,2,49,True
8.4,293.6,126.8,4,115,94,SC,39,yes,yes,0,99,False
10.8,214.8,87.7,6,58,74,MS,0,no,no,1,78,False
12.5,210.2,96.5,3,133,86,MT,0,no,no,1,100,True
12.4,276.4,148.5,3,84,115,DE,0,no,no,1,110,False
14.1,114.0,111.9,3,143,92,CA,0,no,no,5,112,True
15.3,89.8,193.0,3,99,97,OH,0,no,no,1,124,False
10.9,267.0,165.1,4,93,85,TN,15,no,yes,1,108,False
7.6,162.5,149.7,2,118,112,GA,23,no,yes,3,141,False
7.2,251.8,235.1,2,79,98,MD,0,yes,no,4,88,True
13.3,206.0,126.7,7,90,108,DE,0,no,no,1,125,False
9.2,197.3,150.7,15,133,105,KS,0,no,no,1,121,False
9.4,164.2,210.6,5,103,117,UT,0,no,no,0,108,False
14.0,278.0,130.2,6,60,105,VA,0,no,no,2,84,False
10.7,270.2,102.0,3,139,95,WI,0,no,no,1,85,False
10.1,240.5,214.1,3,94,77,DE,0,yes,no,1,54,False
18.9,205.4,125.2,2,107,99,ID,0,no,no,0,128,False
8.2,185.4,155.7,2,118,104,NC,19,no,yes,3,116,False
9.1,264.2,200.7,5,116,88,WY,28,no,yes,1,99,False
11.3,172.7,176.6,5,96,65,WA,25,no,yes,2,13,False
9.0,270.5,99.3,6,136,112,VT,0,no,no,3,111,False
10.1,192.4,162.3,3,86,116,NH,0,no,no,2,78,False
12.0,157.2,235.8,3,94,109,HI,0,no,no,0,85,False
10.6,292.8,206.3,4,82,98,IA,0,no,no,1,152,False
9.5,197.5,236.6,10,68,69,WV,38,no,yes,2,80,False
13.0,203.4,288.5,5,74,114,IN,25,yes,yes,1,88,False
11.7,173.4,225.2,4,88,116,ID,17,yes,yes,0,138,False
13.5,208.9,179.3,6,89,147,DC,0,no,no,1,60,True
4.0,241.3,196.5,7,123,89,MD,0,no,no,0,42,False
9.8,292.1,178.7,4,138,116,LA,0,no,no,0,151,False
7.9,96.6,214.6,5,82,108,VT,20,no,yes,1,152,False
9.1,243.7,167.9,2,93,114,IA,17,no,yes,1,79,False
8.0,252.2,254.7,3,80,103,OH,0,yes,no,0,133,True
14.8,149.1,162.3,1,78,99,CT,0,no,no,4,56,True
6.4,178.2,281.2,5,101,93,MS,13,no,yes,2,78,False
13.7,168.6,203.4,3,61,96,VT,0,no,no,2,95,False
10.1,148.3,166.7,3,122,113,OK,0,yes,no,3,75,False
9.8,259.7,249.5,4,98,101,GA,24,no,yes,1,70,False
6.8,201.5,202.3,4,111,87,AL,0,no,no,0,83,False
10.9,251.6,207.6,6,123,68,KS,0,no,no,2,68,False
10.0,187.1,109.1,4,140,141,SC,0,no,no,3,104,False
7.5,194.0,264.5,4,111,117,ME,0,no,no,2,100,True
10.3,193.1,150.5,2,93,75,ME,0,no,no,1,165,False
14.8,207.1,124.3,1,88,68,CO,0,no,no,0,119,False
12.9,223.1,101.9,2,97,79,IN,42,no,yes,0,105,False
9.8,263.5,99.9,7,125,84,VA,30,no,yes,2,86,False
9.2,220.9,189.3,5,105,77,CT,0,no,no,4,150,False
8.9,258.4,227.2,4,92,128,SD,0,no,no,3,209,False
10.3,89.1,195.9,3,95,103,MI,0,no,no,1,158,False
11.7,180.0,149.8,4,93,112,OR,0,no,no,2,110,False
6.2,277.4,146.1,3,104,98,NY,20,no,yes,1,91,False
6.0,210.6,261.7,3,48,97,MO,0,no,no,3,79,True
9.3,127.8,115.7,6,113,105,NY,0,no,no,1,40,False
8.8,267.8,231.2,5,136,141,ND,0,no,no,1,122,True
8.7,253.0,272.5,6,83,105,MO,30,no,yes,3,83,False
6.3,136.3,69.1,3,100,117,IL,0,no,no,1,149,False
9.6,130.7,157.5,4,79,70,MN,0,no,no,3,124,False
10.7,187.8,133.7,2,107,45,PA,0,yes,no,1,106,True
11.6,182.2,226.9,2,77,106,MI,0,no,no,0,105,True
12.7,223.6,139.9,4,96,117,VT,0,no,no,2,72,False
6.6,218.7,215.5,9,117,129,ME,0,no,no,4,113,False
7.9,213.4,196.0,6,96,74,CO,0,no,no,1,157,False
9.9,138.0,214.4,1,149,94,NC,0,no,no,2,117,False
8.4,319.3,103.5,4,111,134,IL,0,yes,no,2,79,False
10.5,155.2,220.6,11,121,117,VT,0,no,no,1,162,False
12.4,255.1,61.6,5,110,103,OK,30,no,yes,1,155,False
9.5,191.1,213.0,3,112,115,WY,39,no,yes,0,57,False
11.4,190.3,194.4,2,82,101,RI,0,no,no,0,112,False
12.0,152.0,282.3,4,89,70,SD,31,no,yes,1,65,False
4.2,314.4,181.1,9,109,121,AK,0,no,no,2,132,False
14.8,132.8,204.5,9,113,79,MD,34,no,yes,2,129,False
9.7,179.5,159.4,2,88,79,MD,0,no,no,6,116,True
5.7,204.7,213.4,4,77,86,NE,0,no,no,1,70,False
12.1,288.7,55.6,3,83,97,FL,0,no,no,2,185,False
10.3,140.3,248.8,2,77,124,IN,45,no,yes,3,96,False
9.7,257.5,212.7,13,103,73,MO,24,no,yes,2,120,False
13.2,218.6,236.2,2,85,77,MS,0,yes,no,2,64,True
6.0,118.7,200.2,6,87,92,SD,0,no,no,2,104,False
9.8,172.3,138.6,3,117,122,DC,0,no,no,1,108,False
9.6,257.7,157.3,6,94,123,AR,19,no,yes,0,185,False
8.5,268.5,272.1,10,118,111,VT,0,no,no,1,113,True
13.6,217.2,170.5,5,77,107,LA,26,no,yes,6,115,False
9.9,171.7,146.8,3,73,133,WV,0,no,no,1,84,False
12.2,228.6,195.9,4,82,86,AK,0,no,no,3,146,False
6.7,219.1,163.0,3,89,112,AL,0,no,no,2,77,False
5.0,160.0,171.5,2,103,99,DE,0,yes,no,1,224,True
6.6,295.3,134.7,5,98,116,MI,0,no,no,2,91,False
8.3,185.3,130.0,4,88,110,TX,0,no,no,0,82,False
18.2,281.1,48.4,1,138,101,NE,0,no,no,1,194,False
12.0,235.9,165.9,5,97,114,MO,0,no,no,2,72,False
8.9,190.9,203.4,4,104,100,LA,0,no,no,0,155,True
10.0,208.2,260.4,2,104,107,VT,0,no,no,6,67,False
6.6,177.9,142.9,4,96,96,OR,0,no,no,0,190,False
9.4,211.6,257.9,2,71,92,TX,0,no,no,2,123,False
11.4,190.2,186.1,6,66,112,VA,0,no,no,2,10,False
8.8,126.9,193.7,4,84,74,NE,0,no,no,0,34,False
11.6,156.0,271.6,9,131,130,WV,0,no,no,2,139,False
12.8,122.8,142.3,9,106,75,MT,0,no,no,2,111,False
9.3,211.8,177.3,7,102,95,NE,30,no,yes,3,129,False
7.4,115.9,189.7,4,133,100,WV,0,no,no,0,59,False
14.8,229.9,164.8,2,96,98,NY,0,no,no,2,32,False
9.0,163.2,160.6,3,126,111,WY,0,no,no,1,164,False
7.2,219.2,210.7,6,86,116,AZ,0,no,no,1,67,False
12.6,199.9,187.4,8,126,101,SC,0,no,no,1,108,False
7.7,136.8,196.3,3,96,108,OH,0,no,no,2,149,False
12.5,183.6,135.0,9,106,99,KY,0,no,no,1,95,False
9.5,285.9,239.8,4,65,103,WI,24,no,yes,0,142,False
9.6,160.7,187.3,2,111,118,CT,0,yes,no,0,125,True
6.5,187.5,176.8,3,97,92,WV,0,no,no,2,133,False
13.0,149.8,159.1,18,101,106,ND,33,no,yes,1,84,False
9.0,286.7,245.8,13,91,116,ND,0,no,no,1,145,True
11.6,197.7,169.8,4,105,114,WV,0,no,no,1,159,False
11.6,211.7,172.1,6,99,105,MO,0,no,no,1,74,False
12.4,210.6,221.8,9,115,143,PA,15,no,yes,1,174,False
11.3,60.0,243.7,2,90,124,WY,0,no,no,0,71,False
9.5,230.0,119.0,3,134,101,MI,41,no,yes,0,86,False
9.7,167.2,122.2,6,62,67,NY,0,no,no,1,46,False
9.0,264.5,197.3,6,106,67,MN,0,no,no,1,61,False
13.2,166.0,221.8,4,125,84,CT,0,no,no,1,77,False
9.5,180.5,279.1,11,108,124,NJ,0,no,no,2,182,True
13.8,226.1,252.1,3,103,110,CA,0,no,no,1,120,False
7.8,199.0,138.6,4,93,102,TX,0,no,no,0,84,False
14.1,154.8,205.2,5,95,145,MD,0,no,no,3,204,False
10.5,141.4,169.7,3,123,115,IA,0,no,no,4,40,True
7.6,299.8,179.7,3,92,128,CO,0,no,no,1,89,False
11.2,138.0,151.8,8,126,106,IN,0,no,no,3,110,False
5.8,215.0,127.7,4,105,54,ND,24,yes,yes,2,135,False
12.3,151.3,144.9,3,115,136,VA,0,no,no,2,77,False
13.1,241.8,210.3,3,87,90,CA,19,no,yes,4,75,False
8.5,174.3,241.2,4,85,105,WA,0,no,no,2,110,False
10.9,213.7,162.3,2,118,88,OK,0,no,no,0,194,False
12.8,181.6,184.2,4,101,95,DE,0,no,no,2,95,False
11.3,188.2,214.3,10,107,112,VT,42,no,yes,0,84,False
9.8,237.0,271.1,5,122,108,UT,0,no,no,2,110,True
10.6,108.5,247.5,3,118,99,WY,0,yes,no,2,127,False
10.6,188.6,220.3,4,101,124,NH,0,no,no,1,101,False
11.8,152.3,217.0,4,83,104,AK,0,no,no,2,52,False
8.4,97.7,180.2,3,85,134,WI,0,no,no,1,103,False
7.8,210.8,153.2,3,99,78,LA,0,yes,no,1,75,False
8.2,114.6,273.6,4,116,93,MD,0,no,no,1,18,False
15.5,179.3,131.6,3,109,95,MS,0,no,no,1,131,True
14.4,166.6,198.8,3,67,115,NM,26,yes,yes,1,188,True
12.9,181.6,71.2,1,103,82,FL,24,no,yes,1,90,False
5.4,42.2,201.3,3,78,117,OK,36,no,yes,1,125,False
7.8,230.4,322.3,5,135,100,NC,0,no,no,2,161,True
3.1,222.2,216.2,1,133,67,LA,0,no,no,2,133,False
9.4,170.0,143.4,4,92,72,WV,30,no,yes,3,70,False
15.1,208.0,185.3,3,73,127,NM,0,no,no,1,153,False
10.0,124.0,169.5,3,87,77,OR,0,no,no,0,76,False
12.1,208.9,315.6,3,71,105,MN,21,no,yes,3,13,False
7.8,212.3,201.9,10,96,86,IL,0,no,no,1,117,False
10.7,220.4,230.2,7,79,113,KS,0,no,no,4,137,False
10.9,236.1,166.0,4,97,102,WV,0,no,no,1,100,False
8.4,248.7,279.8,10,91,90,WI,0,yes,no,2,69,True
11.7,236.6,115.9,6,95,120,LA,36,no,yes,3,81,False
4.5,136.2,94.4,4,101,104,MO,48,no,yes,0,64,False
10.1,214.4,223.2,2,131,76,ME,0,no,no,3,176,False
4.9,186.9,216.0,10,114,85,IA,0,no,no,2,129,False
12.2,121.2,243.4,5,110,114,NJ,0,no,no,0,137,False
8.3,115.7,109.1,6,96,97,HI,0,no,no,0,72,False
12.3,202.9,124.0,3,81,102,VT,17,no,yes,1,193,False
